
==========================================================================
FULL 2024 BACKTEST (Delta India, daily-expiry BTC short straddle, Premium<=15, 10 lots, 5% slippage)   2024-02-15 -> 2024-12-31   (321 days)
==========================================================================
date        status                   spot  liq   cheapC   cheapP      pnl$
2024-02-15  no_quotes             51771.0    0        -        -    0.0000
2024-02-16  no_quotes             51910.0    0        -        -    0.0000
2024-02-17  no_quotes             52150.5    0        -        -    0.0000
2024-02-18  no_quotes             51676.5    0        -        -    0.0000
2024-02-19  no_quotes             52179.0    0        -        -    0.0000
2024-02-20  no_spot                     -    0        -        -    0.0000
2024-02-21  no_spot                     -    0        -        -    0.0000
2024-02-22  no_quotes             51848.0    0        -        -    0.0000
2024-02-23  no_quotes             51303.5    0        -        -    0.0000
2024-02-24  no_quotes             50744.5    0        -        -    0.0000
2024-02-25  no_quotes             51566.5    0        -        -    0.0000
2024-02-26  no_quotes             51746.0    0        -        -    0.0000
2024-02-27  no_quotes             54513.0    0        -        -    0.0000
2024-02-28  no_quotes             57071.0    0        -        -    0.0000
2024-02-29  no_quotes             62431.5    0        -        -    0.0000
2024-03-01  no_quotes             61239.0    0        -        -    0.0000
2024-03-02  no_quotes             62459.5    0        -        -    0.0000
2024-03-03  no_quotes             62006.0    0        -        -    0.0000
2024-03-04  no_quotes             63205.5    0        -        -    0.0000
2024-03-05  no_quotes             68231.0    0        -        -    0.0000
2024-03-06  no_quotes             63798.5    0        -        -    0.0000
2024-03-07  no_quotes             66081.5    0        -        -    0.0000
2024-03-08  no_quotes             66839.5    0        -        -    0.0000
2024-03-09  no_quotes             68170.5    0        -        -    0.0000
2024-03-10  no_quotes             68374.0    0        -        -    0.0000
2024-03-11  no_quotes             68956.0    0        -        -    0.0000
2024-03-12  no_quotes             72180.0    0        -        -    0.0000
2024-03-13  no_quotes             71496.0    0        -        -    0.0000
2024-03-14  no_quotes             73045.0    0        -        -    0.0000
2024-03-15  no_quotes             71476.5    0        -        -    0.0000
2024-03-16  no_quotes             69481.5    0        -        -    0.0000
2024-03-17  no_fill_both          65537.0    2    299.0        -    0.0000
2024-03-18  no_quotes             68371.0    0        -        -    0.0000
2024-03-19  no_fill_both          67604.5    1        -    249.0    0.0000
2024-03-20  no_quotes             62014.0    0        -        -    0.0000
2024-03-21  no_quotes             67886.0    0        -        -    0.0000
2024-03-22  no_quotes             65513.0    0        -        -    0.0000
2024-03-23  no_quotes             63724.5    0        -        -    0.0000
2024-03-24  no_fill_both          63995.5    1        -    344.0    0.0000
2024-03-25  no_quotes             67314.0    0        -        -    0.0000
2024-03-26  no_quotes             69920.0    0        -        -    0.0000
2024-03-27  no_fill_both          70015.0    2     28.0        -    0.0000
2024-03-28  no_quotes             69572.0    0        -        -    0.0000
2024-03-29  no_fill_both          70833.0    3   1936.0     55.0    0.0000
2024-03-30  no_fill_both          69863.5    2    179.0     39.0    0.0000
2024-03-31  no_fill_both          69607.5    1        -    309.0    0.0000
2024-04-01  no_fill_both          71283.5    2    506.0        -    0.0000
2024-04-02  no_fill_P             69684.0    2      3.0    169.0    0.0000
2024-04-03  no_fill_both          65533.5    3     21.0    853.0    0.0000
2024-04-04  no_fill_both          65980.0    2     73.0    490.0    0.0000
2024-04-05  no_fill_both          68512.0    4    240.0     16.0    0.0000
2024-04-06  no_fill_both          67879.5    2        -     16.0    0.0000
2024-04-07  no_fill_both          68987.0    5     97.0     49.0    0.0000
2024-04-08  no_fill_both          69355.0    1    276.0        -    0.0000
2024-04-09  no_fill_both          71654.5    3    241.0     32.0    0.0000
2024-04-10  no_fill_P             69156.0    5      5.0    100.0    0.0000
2024-04-11  no_fill_both          70600.0    4        -     36.0    0.0000
2024-04-12  TRADED                70019.0    8      2.0      9.0    0.1024
2024-04-13  no_fill_both          67100.0    4     21.0   1935.0    0.0000
2024-04-14  no_fill_both          63998.5    7     32.0    230.0    0.0000
2024-04-15  no_fill_both          65541.5    7    100.0    156.0    0.0000
2024-04-16  no_fill_both          63356.0    5     71.0     22.0    0.0000
2024-04-17  no_fill_both          63821.5    3    379.0     37.0    0.0000
2024-04-18  no_fill_P             61291.5    7      5.0     21.0    0.0000
2024-04-19  TRADED                63432.5    8      8.0      2.0    0.2154
2024-04-20  no_fill_P             63823.5    7      1.2     83.0    0.0000
2024-04-21  no_fill_both          64892.0    4    240.0     21.0    0.0000
2024-04-22  no_fill_both          64956.5    4    446.0     47.0    0.0000
2024-04-23  no_fill_both          66806.5    5    315.0     42.0    0.0000
2024-04-24  no_fill_C             66493.5    5     34.0      2.6    0.0000
2024-04-25  no_fill_P             64247.0    5     13.0    209.0    0.0000
2024-04-26  no_fill_P             64545.5    5      2.0     51.0    0.0000
2024-04-27  no_fill_P             63790.0    7      3.0     40.0    0.0000
2024-04-28  no_fill_C             63496.5    3     70.0      6.0    0.0000
2024-04-29  no_fill_both          63010.0    4    109.0    250.0    0.0000
2024-04-30  no_fill_both          63850.0    3    243.0     18.0    0.0000
2024-05-01  no_fill_P             60771.5    3      4.0    177.0    0.0000
2024-05-02  no_fill_both          58354.5    4    210.0    236.0    0.0000
2024-05-03  no_fill_C             59072.0    6     28.0      2.0    0.0000
2024-05-04  no_fill_both          62827.0    4    949.0     26.0    0.0000
2024-05-05  no_fill_both          64000.0    5     54.0     42.0    0.0000
2024-05-06  no_fill_C             64040.5    4     43.0      6.0    0.0000
2024-05-07  no_fill_both          63169.5    2     26.0        -    0.0000
2024-05-08  no_fill_P             62370.5    4      9.0    720.0    0.0000
2024-05-09  no_fill_P             61213.0    6      0.1    212.0    0.0000
2024-05-10  TRADED                63100.5    8     15.0      2.0    0.1690
2024-05-11  no_fill_P             60838.5    3      8.0     45.0    0.0000
2024-05-12  no_fill_both          60807.5    5     23.0     40.0    0.0000
2024-05-13  no_fill_C             61527.0    4   3513.0      2.0    0.0000
2024-05-14  no_fill_both          62933.5    3    221.0     42.0    0.0000
2024-05-15  no_fill_both          61593.0    4     34.0     26.0    0.0000
2024-05-16  no_fill_C             66288.0    8    205.0     14.0    0.0000
2024-05-17  no_fill_both          65286.5    3     26.0    200.0    0.0000
2024-05-18  no_fill_both          66921.0    5     32.0     45.0    0.0000
2024-05-19  no_fill_C             66979.5    3     29.0      3.0    0.0000
2024-05-20  no_fill_both          66282.0    2     86.0    240.0    0.0000
2024-05-21  no_fill_C             71523.5    9    279.0      3.0    0.0000
2024-05-22  no_fill_both          70213.0    3     18.0    357.0    0.0000
2024-05-23  no_fill_both          69242.0    4     53.0    196.0    0.0000
2024-05-24  no_fill_C             67951.5    5     98.0     15.0    0.0000
2024-05-25  TRADED                68592.0    7     14.0      2.0    0.1499
2024-05-26  no_fill_C             69324.0    3     51.0      8.0    0.0000
2024-05-27  no_fill_both          68532.5    1        -    614.0    0.0000
2024-05-28  no_fill_both          69428.5    4     26.0     22.0    0.0000
2024-05-29  no_fill_both          68443.5    4    559.0    174.0    0.0000
2024-05-30  no_fill_P             67671.5    3     10.0    400.0    0.0000
2024-05-31  no_fill_P             68399.0    6      3.0     65.0    0.0000
2024-06-01  no_fill_P             67602.5    3      3.0        -    0.0000
2024-06-02  no_fill_both          67786.0    3     75.0    305.0    0.0000
2024-06-03  no_fill_P             67777.0    4     10.0     37.0    0.0000
2024-06-04  no_fill_C             68830.0    5     35.0      2.0    0.0000
2024-06-05  no_fill_both          70613.5    2     45.0        -    0.0000
2024-06-06  no_fill_both          71173.5    4     96.0     27.0    0.0000
2024-06-07  no_fill_P             70800.0    7      4.0     23.0    0.0000
2024-06-08  TRADED                69328.5    2      3.0     10.0    0.1214
2024-06-09  no_fill_both          69319.0    1        -     58.0    0.0000
2024-06-10  no_fill_both          69650.0    4    114.0     19.0    0.0000
2024-06-11  no_fill_C             69544.0    2     82.0     10.0    0.0000
2024-06-12  no_fill_P             67312.5    6      6.0     33.0    0.0000
2024-06-13  no_fill_P             68303.5    8      2.0     25.0    0.0000
2024-06-14  no_fill_C             66850.0    4     17.0     13.0    0.0000
2024-06-15  TRADED                66062.5    7      0.1      3.0    0.1223
2024-06-16  no_fill_both          66202.5    2     21.0        -    0.0000
2024-06-17  no_fill_both          66684.0    2    781.0     78.0    0.0000
2024-06-18  no_fill_C             66523.0    4    107.0      3.0    0.0000
2024-06-19  no_fill_both          65173.0    5     65.0     56.0    0.0000
2024-06-20  no_fill_P             64973.0    7      1.0     44.0    0.0000
2024-06-21  TRADED                64901.0    9      0.1      9.0    0.1404
2024-06-22  no_fill_C             64177.0    4     33.0      2.0    0.0000
2024-06-23  no_fill_both          64281.0    2    330.0    648.0    0.0000
2024-06-24  no_fill_P             63228.5    8      3.0    100.0    0.0000
