Time,Contract,Fill Type,Filled Qty,Exec.Price,Value Notional,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID,Status
2026-09-10 12:35:55.522740+05:30 IST Asia/Kolkata,C-BTC-80200-100926,normal,425,2.00000000,33224.37500000,0.42500000,5fad5ecda2774ea696234dc63ef18078,buy,0.00009,0,0.035105,market_order,157.4,425,0,1527838424,009261789003757024X1,cleared
2026-09-10 11:28:33.049772+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,425,2.00000000,33378.14000000,0.42500000,fd3d93f1a8334360a075551fbd303706,buy,0.00009,0,0.035105,market_order,158,425,0,1527739316,009261789003759731X1,cleared
2026-09-10 07:11:57.397255+05:30 IST Asia/Kolkata,C-BTC-80200-100926,normal,225,12.00000000,17596.89000000,0.22500000,46b7d54811da4c2d91ce6bf9af842d7c,sell,0.00009,0,0.11151,limit_order,12,425,0,1527432957,009261789003757024E0,cleared
2026-09-10 07:00:44.630624+05:30 IST Asia/Kolkata,C-BTC-80200-100926,normal,200,12.00000000,15640.96000000,0.20000000,be917ae845514059a71f196d63ac74a4,sell,0.00009,0,0.09912,limit_order,12,425,225,1527432957,009261789003757024E0,cleared
2026-09-10 06:59:56.840282+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,46,15.00000000,3595.89820000,0.04600000,f584ee438eef4b82afe3d8ba2432edff,sell,0.00009,0,0.028497,limit_order,15,425,0,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:53.347471+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,14,15.00000000,1094.40240000,0.01400000,5d638bc7b3704b2ba42055265ee72722,sell,0.00009,0,0.008673,limit_order,15,425,46,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:52.022951+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,30,15.00000000,2345.16000000,0.03000000,4d35bd7905d3444ca3da65ef3efdf1b7,sell,0.00009,0,0.018585,limit_order,15,425,60,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:52.014422+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,30,15.00000000,2345.10900000,0.03000000,9b83d92615d54c71ae684e16480795bc,sell,0.00009,0,0.018585,limit_order,15,425,90,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:48.669010+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,70,15.00000000,5472.47400000,0.07000000,5708f38413ee4c94a60ebacf75d49426,sell,0.00009,0,0.043365,limit_order,15,425,120,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:48.546861+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,50,15.00000000,3908.93500000,0.05000000,09de2a9e7a03486eb3aa2eec3a52025c,sell,0.00009,0,0.030975,limit_order,15,425,190,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:42.710176+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,3,15.00000000,234.55770000,0.00300000,26bdf9d9d3c24f98b1aa09741cf4b6eb,sell,0.00009,0,0.0018585,limit_order,15,425,240,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:42.450417+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,35,15.00000000,2736.50650000,0.03500000,7571aaa6f179455091df0ca38e22c13d,sell,0.00009,0,0.0216825,limit_order,15,425,243,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:42.230343+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,3,15.00000000,234.55770000,0.00300000,ce91bdc1c9e449439d34b015a1ae5324,sell,0.00009,0,0.0018585,limit_order,15,425,278,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:42.195360+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,30,15.00000000,2345.57700000,0.03000000,6ab22387e67e42ecadca06d178399afa,sell,0.00009,0,0.018585,limit_order,15,425,281,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:37.234247+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,50,15.00000000,3909.32000000,0.05000000,64116ff18ad041a2b649748317a47819,sell,0.00009,0,0.030975,limit_order,15,425,311,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:37.121555+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,5,15.00000000,390.93150000,0.00500000,0f314571405e4977ac1d6489a9bbd069,sell,0.00009,0,0.0030975,limit_order,15,425,361,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:37.072365+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,30,15.00000000,2345.58600000,0.03000000,9be5fe6e7e454902b798a53cc2df8a6a,sell,0.00009,0,0.018585,limit_order,15,425,366,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:33.378346+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,3,15.00000000,234.56400000,0.00300000,a5d4cb76510840049b55095092ecb32f,sell,0.00009,0,0.0018585,limit_order,15,425,396,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:29.791805+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,7,15.00000000,547.30620000,0.00700000,c3419bb6ab1942d8bea793cf13eb8e02,sell,0.00009,0,0.0043365,limit_order,15,425,399,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:29.622493+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,3,15.00000000,234.56010000,0.00300000,60220e1041e74728a0cb3f9c7b1cd384,sell,0.00009,0,0.0018585,limit_order,15,425,406,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:29.566227+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,3,15.00000000,234.56010000,0.00300000,8debc20a55f4485cba9aa99d28292cba,sell,0.00009,0,0.0018585,limit_order,15,425,409,1527432981,009261789003759731E0,cleared
2026-09-10 06:59:29.482100+05:30 IST Asia/Kolkata,P-BTC-76400-100926,normal,13,15.00000000,1016.42840000,0.01300000,511c0d4016114596b91488ca42d60468,sell,0.00009,0,0.0080535,limit_order,15,425,412,1527432981,009261789003759731E0,cleared
2026-09-10 05:21:25.171024+05:30 IST Asia/Kolkata,P-BTC-76800-100926,normal,410,32.00000000,32088.28100000,0.41000000,d26ef62636394e1c9fbde46b799a9a45,buy,0.00009,0,0.541856,market_order,306.3,410,0,1527358619,009261788977273296X1,cleared
2026-09-10 01:14:49.632403+05:30 IST Asia/Kolkata,C-BTC-80800-100926,normal,450,21.00000000,35234.68500000,0.45000000,59564f42ed3b4d928abf96ff97d553b4,buy,0.00009,0,0.390285,market_order,278.8,450,0,1527208987,009261788979887592X1,cleared
2026-09-10 00:21:31.878736+05:30 IST Asia/Kolkata,C-BTC-80800-100926,normal,450,24.00000000,35324.59500000,0.45000000,649a1385ab39429cb0588b6d5e177d97,sell,0.00009,0,0.44604,limit_order,24,450,0,1527155027,009261788979887592E0,cleared
2026-09-09 23:37:55.525632+05:30 IST Asia/Kolkata,P-BTC-76800-100926,normal,410,32.00000000,32257.32400000,0.41000000,82f336e850cc4729960ad3ceba64079c,sell,0.00009,0,0.541856,limit_order,32,410,0,1527107294,009261788977273296E0,cleared
2026-09-09 21:30:02.095429+05:30 IST Asia/Kolkata,C-BTC-81600-100926,normal,1,20.50000000,78.58600000,0.00100000,0f775819ba3e4bb58f22391930ad0b14,buy,0.00009,0,0.00084665,limit_order,20.5,1,0,1526803109,009261788968358041T0,cleared
2026-09-09 21:09:36.680947+05:30 IST Asia/Kolkata,C-BTC-81600-100926,normal,1,27.00000000,78.58570000,0.00100000,8ba78f42660f4f0f917d1950dc69dc95,sell,0.00009,0,0.0011151,limit_order,27,1,0,1526802114,009261788968358041E0,cleared
2026-09-09 16:57:14.638805+05:30 IST Asia/Kolkata,P-BTC-78800-090926,normal,1,10.80000000,78.95070000,0.00100000,eed0592bea2e4dcab00adfdfff698314,buy,0.00009,0,0.00044604,limit_order,10.8,1,0,1526041992,909261788950448810T0,cleared
2026-09-09 16:10:52.838890+05:30 IST Asia/Kolkata,P-BTC-78800-090926,normal,1,13.20000000,79.11580000,0.00100000,7b0b14dd36a24a57846e507bf2f61706,sell,0.00009,0,0.00054516,limit_order,13.2,1,0,1526041876,909261788950448810E0,cleared
2026-09-09 16:04:40.202877+05:30 IST Asia/Kolkata,P-BTC-78800-090926,normal,1,16.30000000,79.13260000,0.00100000,62fe077533a8427f9521725bf4ea6bc1,buy,0.00009,0,0.00067319,limit_order,16.3,1,0,1526027871,909261788949932144T0,cleared
2026-09-09 16:02:13.927447+05:30 IST Asia/Kolkata,P-BTC-78800-090926,normal,1,19.00000000,79.10290000,0.00100000,b3c7c013be2f4f88a577f246f8699f6b,sell,0.00009,0,0.0007847,limit_order,19,1,0,1526027801,909261788949932144E0,cleared
2026-09-09 16:01:59.897929+05:30 IST Asia/Kolkata,P-BTC-78800-090926,normal,1,18.50000000,79.11550000,0.00100000,a04d7c0c23cb461cb125b641bf8feaa4,buy,0.00009,0,0.00076405,limit_order,18.5,1,0,1526024138,909261788949790410T0,cleared
2026-09-09 15:59:52.715924+05:30 IST Asia/Kolkata,P-BTC-78800-090926,normal,1,22.00000000,79.08340000,0.00100000,088c2c2a8612492fbf628c529abc5ff7,sell,0.00009,0,0.0009086,limit_order,18.9,1,0,1526024077,909261788949790410E0,cleared
2026-09-09 15:49:14.146387+05:30 IST Asia/Kolkata,P-BTC-78600-090926,normal,1,10.40000000,79.02140000,0.00100000,6c2cdcb03a624891b6ea1af52076a652,buy,0.00009,0,0.00042952,limit_order,10.4,1,0,1526000606,909261788948983928T0,cleared
